Group,ID,BarCode,Type,Brand,Line,Unnamed: 6,New arrivals,QTY,EUR,BGN,Best Price,Unnamed: 12,Our Price,Image 1,Image 2,Image 3,Image 4,Image 5,Video,1. Captivating Headline or Tagline,2. Sensory Introduction (1–2 sentences),3. Key Features or Ingredients (Bullet Points or Icons),4. How to Use (Optional but useful),5. Emotional or Lifestyle Hook,6. Tech Specs or Product Facts,FAQ,7. SEO Keywords (Behind-the-scenes),✅ Tips for Beauty Product Pages
Козметика,36965,,Deco,Clarins,Clarins White Plus Pure Translucency Targeted Spot Brightener 7ml,,,65,€5.00,lev9.78,,,,https://tse1.mm.bing.net/th?id=OIP.7uJlAM14Bn6K8osISzKuEQHaHa&r=0&w=474&h=474&c=7,https://tse3.mm.bing.net/th?id=OIP.ICrcLyd07k3E101gqGh2XQHaHa&r=0&w=474&h=474&c=7,https://tse3.mm.bing.net/th?id=OIP.1By5eNVdsSEtdyfg45yt0AHaHa&r=0&w=474&h=474&c=7,https://tse3.mm.bing.net/th?id=OIP.eW3OBdVTg-DNAsqSlJWRpgHaHa&r=0&w=474&h=474&c=7, ,https://youtu.be/VD9cRQACrm8,,,,,,,,,
Грим,7907,602004057969.0,Clean EU,Benefit,Benefit Roller Lash Mascara Mini 4g,,,130,€8.00,lev15.65,lev27.10,,25.75,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=aUG7zQ2PYAY
Парфюми ,37813,8018365500266.0,Tester,Versace,Versace Red Jeans (L) EDT 75ml Tester,,,240,€8.50,lev16.62,lev28.99,,27.54,,,,,,,,,,,,,,,
Грим,7901,602004057280.0,Clean EU,Benefit,Benefit The Porefessional Pore Primer Mini 7.5ml,,,415,€8.50,lev16.62,lev27.20,,25.84,,,,,,,,,,,,,,,
 Грижа за косата,34629,5060616950002.0,Clean EU,We are Paradox,We Are Paradox Volume Shampoo 250ml,,,9,€8.75,lev17.11,lev44.20,,30.80,,,,,,,,,,,,,,,
Парфюми ,38847,88300104680.0,Clean EU,CK,CK Be (U) EDT 50ml,,,682,€9.00,lev17.60,lev32.50,,30.88,,,,,,,,,,,,,,,
Грижа за кожата,25403,3380810106787.0,CLN,Clarins,Clarins White Plus Pure Translucency Brightening Revive Night Mask Gel 50ml,,,152,€9.00,lev17.60,lev34.99,,31.68,,,,,,,,,,,,,,,
Парфюми ,37270,3614273667425.0,Tester,Azzaro,Azzaro Sport (M) EDT 100ml Tester,,,70,€9.25,lev18.09,lev33.99,,32.29,,,,,,,,,,,,,,,
Парфюми ,41926,8057971188529.0,Sample,D&G,D&G L'Imperatrice (L) Set EDP 10ml + EDP 5ml,,,240,€9.50,lev18.58,lev26.99,,25.64,,,,,,,,,,,,,,,
Парфюми ,14090,3386460059138.0,Clean EU,Karl Lagerfeld,Karl Lagerfeld (L) EDP 25ml,,,11,€9.75,lev19.07,lev33.00,,31.35,,,,,,,,,,,,,,,
Парфюми ,14264,3386460089012.0,Clean EU,S.T. Dupont,Dupont Be Exceptional (M) EDT 50ml,,,231,€9.90,lev19.36,lev33.99,,32.29,,,,,,,,,,,,,,,
Парфюми ,13989,3386460010412.0,Clean EU,Lanvin,Lanvin Jeanne (L) EDP 30ml,,,56,€9.90,lev19.36,lev28.30,,26.89,,,,,,,,,,,,,,,
Грижа за кожата,33163,192333066928.0,Clean EU,Clinique,Clinique Moisture Surge 100H Auto-Replenishing Hydrator 30ml,,,480,€9.90,lev19.36,lev29.04,,27.59,,,,,,,,,,,,,,,
Парфюми ,38099,4011700449019.0,Clean EU,Tabac,Tabac Man (M) EDT 50ml,,,122,€10.25,lev20.05,lev42.40,,36.08,,,,,,,,,,,,,,,
Парфюми ,35371,6294015102239.0,Clean EU,Armaf,Armaf Le Parfait Homme (M) EDT 100ml,,,24,€10.50,lev20.54,lev34.99,,33.24,,,,,,,,,,,,,,,
Парфюми ,36356,88300606504.0,Clean EU,CK,CK Obsession For Men (M) EDT 75ml,,,720,€10.50,lev20.54,lev30.80,,29.26,,,,,,,,,,,,,,,
Парфюми ,7821,88300196920.0,Clean EU,CK,CK IN2U (M) EDT 50ml,,,1,€10.90,lev21.32,lev50.00,,38.37,,,,,,,,,,,,,,,
